institution,state,long,lat,rating,total,curriculum,researching,campus_engagement,public_engagement,air,buildings,energy,food,planning,diversity,investment,wellbeing,endowment,area,size,classes,renewables,water,waste,recycling,research,real_food,gge,plant_based,climate,locale,low,monday,IPEDS.ID
Bennington College,VT,-73.237799,42.919547,Gold,66.76,22.55,18,17.06,12.33,8.68,3.5,7.53,4.8,6,7.63,0.5,3.27,0,365,1151.5,8.21,83.29,9705.6,0.45,26.73,32.26,12.7,1.09,68,6,Small town,The Bennington Dining Sevices hold an annual event during lunch time which features sustainable dining. The food offered at the events is raw (salads cheese and fruit plates sandwiches) to reduce oil water and energy use in the Dining Hall Building. In addition to that the minimum amount of light is utilized most of the dining hall lights are off to reduce the electric energy usage.,NA,230816
Bentley University,MA,-71.222839,42.385995,Silver,60.86,21.74,15.31,14.99,12.59,8.15,1.79,6.77,3.52,4.38,8.05,0,5.01,279725000,160,5376.75,13.59,60.04,10896.86,0.25,44.13,14.09,8,1.19,34.68,5,Urban fringe of large city,Bentley Dining offers Vegan and Vegetarian stations as well as Mindful offerings. Mindful is Sodexo’s health and wellness approach that helps you make healthy choice second nature. We are committed to creating healthy nutritious foods. The result of this initiative is an approach that focuses on transparency of ingredients delicious food satisfying portions and clarity in message so that students can make mindful choices. Mindful offerings meet stringent nutritional criteria based on the Dietary Guidelines for Americans. Each meal part is limited in calories has fewer than 30% of calories as fat fewer than 10% of calories as saturated fat and is restricted in sodium and cholesterol. Student can look for the Mindful icon to indulge in the healthy and delicious items offered at each meal.,NA,NA
Binghamton University,NY,-75.966889,42.087868,Gold,65.46,23.3,18,14.47,15.26,7.73,1.89,4.27,2.93,6.38,7.44,0,4.46,119421943,1464.75,16323.9,4.95,23.98,8370.1,0.15,30.33,25.79,1.1,1.91,28.73,6,Urban fringe of mid-size city,We host a variety of special events and programs that encourage low impact dining.  We established our Meatless Monday program in the Fall of 2013 and continues today.,NA,NA
Black Hills State University,SD,-103.870966,44.494889,Silver,53,22.65,12,13.34,10.89,6.76,2.57,2.98,2.85,4.25,2.63,0,4.02,18545520.61,123,2078.75,10.47,4.14,4465.66,0.15,30.87,50,0,2.27,28.5,6,Small town,BHSU hosts various events featuring new plant-based menu options and also do tabling for reducing waste and promoting recycling.,NA,NA
Bloomsburg University of Pennsylvania,PA,-76.447844,41.00782,Gold,66.31,20.4,12.72,17.2,15.46,5.12,2.06,2.82,6.63,6.88,8.67,4.62,4.07,1.42E+10,299,32480.5,5.13,NA,24129.35,0.17,22.75,9.81,61.94,NA,NA,4,Large city,NA,NA,NA
Boise State University,ID,-116.203301,43.604284,Silver,48.87,23.02,11.97,16.6,10.63,5.1,0.97,2.86,1.96,4.5,5.38,0,3.34,117258661,289.31,13367,5.17,1.63,11508.32,0.37,7.68,10.52,4.1,2.11,16.2,5,Large city,Daily multiple stations offer a variety of plant forward and vegetarian options including entrees sides soups sandwiches and vegetarian burgers.,NA,NA
Boston College,MA,-71.169242,42.336213,Silver,54.99,20.12,10.51,11.1,12.02,5.88,2.35,3.37,2,4.5,9.19,0,3.02,2.40E+09,340,14186.25,5.93,0,99.54,0.28,36,8.64,0,3.39,NA,5,Urban fringe of large city,BC Dining engages students in low impact events focusing on reducing food waste sampling sustainable and regional foods and reducing meat consumption. We hold a Trash Dinner where food scraps from the week are collected and transformed into a creative meal that can feature items such as salmon shoulder and pickled cucumber ends. Every Thursday the FRESH showcase kitchen engages students in sustainable food related conversations and hands out samples of dishes that meet two of the FRESH parameters: Fairly traded Regional Equitable Sustainable Healthy. We are also hosting a Plant-Based Pop-Up event where students buy tickets to a dining experience that will feature five courses of all vegan dishes.,Yes,NA
Boston University,MA,-71.107942,42.351118,Silver,53.97,17.55,10.95,13.44,11.87,5.76,1.45,3.19,2.99,4.5,8.23,2.4,2.36,2207565000,906,29490.75,3.97,NA,13580.76,0.32,38.64,25.5,18.71,4.28,NA,5,Large city,"The \Wholesome Roots\"" program is a menu schedule rotation between our dining halls that focuses on healthy nutritious and low carbon meals. It's also an opportunity for education through station signs posters website and Facebook postings and table tents that discuss what makes each meal sustainable. No beef or pork is served on these days and the focus is on local produce sustainable seafood as well as more vegetarian and vegan options. Wholesome Roots rotates Monday through Wednesday at the different dining halls. At least once a month the Sustainability Director for Dining Services demos new plant-based dishes to increase student awareness of low-impact foods and expose them to new plant proteins (e.g. seitan tempeh grain burgers etc.)""",Yes,NA
Bowdoin College,ME,-69.963942,43.907134,Gold,68.71,24.57,16,15.05,14,10.83,2.24,4.7,3.07,4.25,8.78,0,3.3,1628165000,527.5,2493.25,34.04,28.37,19851.24,0.51,49.77,45.62,20.1,0,NA,6,Small town,Bowdoin Dining has collaborated with several student groups to educate diners about carbon footprint as it relates to our menu items.  Students calculated carbon footprints and experimented to determine the most effective way to affect dining decisions based on this information.  These exercises have been very positive both for our culinary staff and customers.,Yes,161004
Bryant University,RI,-71.539547,41.920092,Silver,52.53,28.42,13.33,13.8,9.36,4.11,1.47,3.23,1.75,5,4.91,0,4,183756000,435,3733.5,13.96,0,13190.3,0.25,45.07,16.92,NA,4.24,NA,5,Small town,NA,No,NA
Bucknell University,PA,-76.882616,40.954317,Gold,65.59,31.45,14.73,12.97,12.2,5.39,2.26,3.42,2.82,5.5,8.75,3.33,3.71,8.44E+08,581,4698.75,13.8,3.19,18192.04,0.48,45.24,24.03,2.7,6.43,NA,5,Small town,NA,No,211291
Butler University,IN,-86.172167,39.8374,Bronze,34.31,11.55,0,5.06,8.27,3.89,2.99,3.99,1.32,2.5,2.63,0,4.19,220426000,295,4939,3.47,0,11691.76,0.08,28.79,NA,6,5.97,NA,5,Large city,Dining halls host sustainable eating events during Campus Sustainability Month in October. The dates and times are published in the daily newsletters to students and posted on social media.,Yes,NA
California Polytechnic State University,CA,-120.657311,35.299513,Gold,70.16,32.26,13.76,16.33,10.3,8.03,2.29,4.1,2.27,7.25,7.54,3,3.56,220500000,1321,19117,7.25,9.1,8460.41,0.19,39.6,49.38,5,0.82,NA,3,Large town,Campus Dining hosts biweekly FriYay dinners for residential diners. FriYay dinners always feature at least one vegan option such as pan seared cauliflower steak with chimichurri. We also feature a FYUL (Fueling Your University Life) program throughout campus. FYUL highlights vegan recipes and the environmental financial and health benefits that they offer.,Yes,NA
California State Polytechnic University Pomona,CA,-117.821476,34.057912,Silver,58.15,24.93,9.58,15.92,12.25,6.32,3.1,5.45,1.66,6.5,4.95,0,3.86,96100000,1438,19437.75,28.43,3.23,7210.53,0.13,31.05,38.75,3,1.18,NA,3,Urban fringe of large city,Our campus dining services hold occasional Los Vegan events where all the meals offered that day evening are vegan meals. The events were so successful that what began as a one day event has become a more reoccurring event.,Yes,NA
California State University Bakersfield,CA,-119.104711,35.350005,Silver,47.65,11.46,9.45,10.57,6.99,6.84,2.25,4.46,1.63,7,4.22,0,3.56,23900000,375,5565.25,3.95,23.07,26124.12,0.04,20.69,14.29,NA,2.12,NA,3,Large city,Aramark runs specials including Meatless Mondays featuring vegetarian and vegan meals and Fit Fridays which feature low-calorie and vegan/vegatarian options as the primary meal feature.,Yes,NA
California State University Channel Islands,CA,-119.04356,34.162949,Gold,65.23,21.32,16.96,12,12.27,7.13,4.02,4.91,3.38,7,7.89,1.25,2.04,13712947,814.44,5307.78,10.51,0,6298.81,0.21,67.92,32.67,0.4,1.65,60.31,3,Urban fringe of mid-size city,"With the expansion of Islands Cafe in Fall 2016 a dedicated \Farmers Market\"" station opened to provide organic vegetarian vegan and gluten-free options. The station is entirely plant-based featuring a variety of vegetarian and vegan entrees including vegan tacos quesadillas grilled \""cheese\"" sandwiches asian stir-fry bowls and fruit smoothies. """,NA,NA
California State University Chico,CA,-121.844859,39.729712,Gold,73.41,36.28,12.94,16.18,14.51,8.19,2.79,3.16,4.02,7.75,7.26,1.33,4.05,60995401,4962,13995.25,13.44,0.87,3936.62,0.15,45.76,43.4,16,0.8,NA,3,Large town,"Sutter Dining Hall recently hosted an insect-based \entomophagy\"" meal to highlight the lower environmental impact of insects as a protein source instead of beef or other meats.""",Yes,NA
California State University Dominguez Hills,CA,-118.255917,33.864766,Silver,54.16,17.85,8.8,11.16,12.85,6.93,2.35,2.8,2,5.63,8.31,0,1.82,12543000,346,10397.18,4.68,1.87,1111.68,0.08,60.91,8.53,NA,0.52,NA,3,Urban fringe of large city,As a result of previous food advisory forum feedback Campus Dining currently offers vegan options at every meal in Campus Dining eateries.  These options are promoted with special logos on eatery menus.,NA,NA
California State University East Bay,CA,-122.054135,37.657694,Bronze,42.65,10.82,11.01,11.5,9.06,4.37,2.25,2.38,1.5,4.75,4.99,1.33,1.81,17090644,748,11164.5,1.61,0,6933.3,0.21,44.97,14.23,0,0.99,NA,3,Urban fringe of large city,"\Meatless Monday began in 2003 an international movement to help people reduce their meat consumption by 15% to improve personal health and the health of the planet. Monday is the beginning of the week making it the perfect time to reevaluate our choices and set our intentions for the coming days. The occasional meatless meal can also help cut your carbon footprint and save precious resources like fresh water and fossil fuel.\""http://www.csueastbay.edu/sustainability/operations/dining.html""",Yes,NA
California State University Fresno,CA,-119.744569,36.811154,Bronze,32.46,24.52,7.62,11.15,8.45,0,1,0,0.85,5.38,3.66,0,0,161500000,1399,17703.25,9.32,NA,NA,NA,NA,6.47,NA,5.29,NA,3,Large city,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,NA
California State University Fullerton,CA,-117.885446,33.881506,Silver,56.42,15.71,12.73,11.69,12.08,6.39,4.36,3.18,1.93,5.75,7.33,0,3.24,57466000,240.6,26163.32,5.85,5.52,4899.84,0.1,56.66,42.53,1,0.81,NA,2,Urban fringe of large city,The Gastronome provides low impact dining events every day. Each station has a vegan option as well as protein starch and vegetable option. This is true for every meal period breakfast lunch and dinner.  https://campusinsights.aramark.com/resources-blog/plant-forward-dining-on-higher-education-campuses?utm_campaign=Dining&utm_source=Aramark%20Resources&utm_medium=aramark.com,Yes,NA
California State University Long Beach,CA,-118.11204,33.782818,Silver,53.82,21.02,8.81,9.2,7.73,6.65,2.98,3.28,2.98,7,7.9,3.16,2.39,79351656,322,25633.9,3.37,8.27,5202.11,0.22,48.58,6.45,1.01,0.76,37.35,2,Large city,Mindful Monday meals are served in the residential dining halls to raise awareness about low-impact food options. All residential dining halls also offer at least one plant-based option at each of their food stations.,NA,NA
California State University Los Angeles,CA,-118.168965,34.066927,Silver,51.1,19.55,10.82,10,10.89,7.55,1.53,2.93,1.63,7.75,6.74,1.16,3.83,40071000,175,19504,7.62,0.75,4285.19,0.15,62.53,11.86,0,0.92,NA,3,Large city,The dormitory dining commons has meatless nights once every 6 week cycle.,Yes,NA
California State University Monterey Bay,CA,-121.796178,36.652397,Silver,58.15,23.72,13.14,13.47,9.47,4.95,3.75,4.39,3.93,6.25,7.97,0,2.57,2500700,1396,6855,6.62,16.83,10730.28,0.36,43.56,75.47,0,0.78,71,3,Large town,Meatless Mondays :  Every Monday we highlight the vegetarian options in the dining room.  For example Broccoli Cheddar Baked Stuffed Potato Cheese Pizza Mad Mex Vegetarian Quesadilla Citrus Grain Salad Roasted Curry Tofu Lentil Dal and Curry Roasted Vegetables Stir-Fried Cabbage Peppers and Peas.A few examples of low impact dining events on campus are farm to table events where we feature special and unique seasonal produce and dishes. We always ensure that we have meatless and vegan options at all times.,NA,NA
California State University Northridge,CA,-118.529319,34.240126,Gold,74.33,32.09,17,18.06,9,7.43,4.34,5.93,3.26,6.5,9.25,1.08,3.82,102610732,356,24770,23.28,8.01,6460.91,0.12,59.23,27.85,7,1.13,NA,3,Large town,CSUN Dining through The University Corporation hosts low impact dining events throughout the semester.,Yes,NA
California State University Sacramento,CA,-121.423549,38.559415,Gold,68.47,25.5,13.09,16.88,15.93,8.15,4.21,4.06,2.43,7,8.44,0.57,4.71,45581000,300,16184,13.67,6.42,4205.43,0.2,55.7,17.11,3,0.95,15,3,Large city,The Dining Commons has a dedicated station that offers vegetarian/vegan options daily. Additionally other stations in the Dining Commons offer a variety of vegetarian/vegan options.,NA,NA
California State University San Bernardino,CA,-117.323801,34.182622,Silver,51.18,23.14,13.25,12.25,15.91,0,2.43,3,2,3.5,4.67,2,3.86,41117991,609,13989,6.2,NA,18413.26,0.15,48.53,9.8,NA,5.29,NA,3,Mid-size city,One of the most important things you can do is make a commitment to your health. Whether you are looking to eat healthier more balanced meals have food allergies or require a special diet we have something for everyone.If you live on campus and have food allergies or follow a special diet for medical religious or personal reasons we are happy to meet with you to discuss your concerns. During this process we will identify your needs and then look at options available to you. We will then determine the best solution regarding your meal plan. To begin the process please contact our Campus Executive ChefChartwells offers a no-cost notification to students who opt-in when food is available at the end of service each day in resident dining facilities. Much food is wasted at the end of each service period when guest volumes decrease. Our notification system allows students to come to the resident dining facility show their invite to the cashier and enter without a swipe. Students may fill a to-go container with food that is available on the lines. Notifications are sent whenever product is available about 10-15 minutes prior to close so that food is still available safe and doors are open.,NA,NA
California State University San Marcos,CA,-117.159013,33.130569,Gold,67.57,22.53,15.27,17.08,14.44,6.53,2.97,5,1.68,6.75,8.6,0,4.92,27957341,304,11184.38,4.66,0.3,2120.62,0.1,44.32,30,NA,0.59,NA,3,Mid-size city,Every Monday the Sustainability program promotes Meatless Monday.  We also promote food options around San Diego that are vegetarian and vegan.  Due to the fact that we do not have a cafeteria we are limited on campus but have worked with Sodexo our food service provider to offer more vegan and vegetarian offerings daily.,NA,NA
California State University Stanislaus,CA,-120.852511,37.52577,Silver,52.5,19.23,6.75,9.67,9.58,6.44,0.98,5.11,1.63,5.38,7.88,0,5.66,16552261,228.8,7891.8,10.96,10.98,2063.78,0.26,82.29,5.66,1.06,0.64,11.37,2,Mid-size city,Meatless Mondays and Indigenous food are offered in conjunction with university sustainability initiatives during Sustainability Month and Earth Week events.,NA,NA
Calvin University,MI,-85.587548,42.929916,Silver,52.54,20.53,7.02,13.17,13.08,4.08,0.04,3.17,2.58,7.88,7.25,0.75,5.06,1.77E+08,789,3945.9,10.2,0.02,10812.72,0.28,40.15,6.06,2,6.47,22,5,Urban fringe of mid-size city,Veg-out is an event where plant based dining is featured in the dining halls. Animal protein if served is reduced to a condiment rather than the focus.,NA,NA
Carleton College,MN,-93.154666,44.462318,Silver,60.66,20.23,10.09,15.41,9.75,8.44,0,6.44,2.58,5,7.36,3.17,3.93,868695391,1040,2480.44,24.78,22.99,18916.22,0.3,51.58,7.79,12,3.37,2,6,Small town,Yes and there are vegetarian specials with every meat special. For Climate Action Week low-impact dining options are highlighted (ie. low water use vegan or vegetarian etc.),NA,173258
Carnegie Mellon University,PA,-79.941993,40.44357,Gold,69.69,31.09,18,13.62,17.03,8.33,4.41,4.32,2,5.25,8.04,0.13,4.41,1718582585,152.5,12944,18.18,47.03,10457.59,0.35,32.2,59.44,NA,2.52,NA,5,Large city,In addition to Meatless Mondays events Chartwells offers guests delicious options with a consciously designed menu that emphasizes less meat and more produce and whole grains.  From vegan biscuits and gravy to Chartwells signature Chickpea Burger the cafe' offers dinner classics with a healthy and meatless twist.,Yes,NA
Cascadia College,WA,-122.191572,47.760915,Bronze,37.31,15.52,0,8.75,2.67,1.58,0,2.96,0,3.75,4.81,0,2,0,132,2355.75,10.2,4.37,73.53,0,60,NA,NA,0,NA,4,Urban fringe of mid-size city,NA,NA,NA
Case Western Reserve University,OH,-81.609596,41.507419,Silver,58.96,21.32,10.04,12.63,12.93,5.34,3.84,4.21,3.06,5,8.71,0.1,2.84,1.66E+09,585,12296.5,6.72,0.22,16725.54,0.24,28.61,8.25,20,9.44,NA,5,Mid-size city,Bon Appetit does not have continually scheduled “Meatless Mondays” yet but on an everyday basis Bon Appétit has committed to continuing to shift the proteins they serve from animal- to plant-based sources. They have set specific ounces-per-guest-per-meal targets and launched detailed reporting on this and other metrics via the new dashboard for every company location to ensure accountability. Chefs are receiving training on moving their menus away from beef and cheese offering specifically defined reasonable portions of any animal protein (less than or equal to those of the U.S. Dietary Guidelines) and techniques to emphasize plant-based proteins.,Yes,NA
Central Community College,NE,-98.372549,40.889582,Silver,59.37,23.42,12,14.11,12.66,6.37,1.34,6.14,2.44,8.13,6.31,0.82,2.73,8700000,263.24,2030.5,14.3,30.87,6984.1,0.08,20.97,42.86,1.52,3.08,11.51,5,Mid-size city,Chartwells is driving change from the inside out with a landmark commitment to reduce food waste by 25% by 2020. As an all-campus initiative we make an effort in partnering with CCC to use menu items that have common crossover ingredients (that allow us to produce less initial food waste) accurately communicating the number of dining students and staff for each meal as as to avoid over-production of many food items and promoting two combined composting programs for food that winds up unuseable. Together we’re reducing waste at the source raising awareness and promoting solutions that positively impact the areas where we operate. Read more and take the Chartwells pledge at stopfoodwasteday.com,NA,NA
Central Michigan University,MI,-84.77525,43.591203,Gold,65.09,28.21,15.16,18.22,13.94,5.25,2.63,3.53,3.04,6.5,7.15,0,2.8,189321756,871,14155,9.02,2.73,6781.08,0.15,25.98,11.22,6.77,4.86,27.79,6,Large town,Central Michigan University practices Meatless Mondays.  Each Monday campus wide dining offers several vegetarian and vegan options in order to reduce the amount of animal products consumed on campus.  This initiative is advertised around campus and on social media.,NA,NA
Central New Mexico Community College,NM,-106.628861,35.071878,Silver,55.91,20.77,0,13.87,10.55,6.04,3.9,4.1,0,4.25,5.01,0,3.23,1853122,303.93,11328,10.36,5.51,1548.07,0.05,7.73,NA,NA,1.75,NA,4,Large city,NA,NA,NA
Central Washington University,WA,-120.538368,47.002687,Bronze,34.5,16.97,5.48,7.11,4.25,1.75,2.84,2.48,1.25,2.5,4.67,0,4.66,36284257,380,14408.5,5.25,0.02,19555.9,0.1,32.71,8.7,0,2.15,NA,4,Large town,In the process of planning Food Waste week where awareness is brought to the impacts of food waste.,Yes,NA
Champlain College,VT,-73.202746,44.473287,Silver,56.93,19.95,0,15.98,8.57,6.75,2.34,5.21,2.31,5.25,7.14,0,2.68,24297680,27.3,2402.75,14.27,7.17,3843.39,0.32,59.87,16.4,10.55,1.46,NA,6,Large town,NA,No,NA
Chatham University,PA,-79.926083,40.448432,Gold,81.34,37.06,15.68,20.13,15.79,6.54,5,5.16,3.85,6.5,7.85,5.55,3.96,77709556,435,1269.5,17.7,68.25,8403.91,1.34,83.17,31.67,14.53,6.5,NA,5,Large city,One Monday a month there is a meatless Monday lunch on the main campus. All of the specials are meatless as are the main courses. The deli the grill and pizzas with animal products are served on-demand.,Yes,NA
Claremont McKenna College,CA,-117.711188,34.102154,Silver,48.39,23.75,16,14.28,4.95,5.34,2.5,2.75,1.88,1.5,7.74,0,1.47,835306000,69,1642.25,40.86,0,22255.06,0.66,24.42,43.86,NA,3.57,NA,3,Small town,Once a semester the Impossible Burger event happens. In addition students host a farm to fork dinner twice a year which incorporates vegetables and herbs from the student garden and is 100% plant-based.,Yes,112260
Clarkson University,NY,-74.999359,44.662716,Gold,65.55,33.53,15,15.5,11.97,5.97,1.44,3.76,2.27,6.5,8.06,1.23,0.78,198326342,791,4140.5,17.01,3.08,9667.99,0.21,24.89,46.07,5,3.12,NA,6,Small town,Meatless Monday is promoted at Ross Brooks (our main eat-in dining area). We participated in world vegan day and national vegetarian day. For these types of events we convert the international grill station into a vegan station.,Yes,NA
Clemson University,SC,-82.835114,34.679381,Silver,53.85,24.12,15,11.59,8.11,6.32,3.38,2.1,2.37,3.5,5.68,0,2.31,6.83E+08,642,22292.75,10.19,0.1,14700.22,0.19,30.22,24.59,9.3,4.87,NA,3,Small town,NA,No,NA
Cleveland State University,OH,-81.674355,41.502281,Silver,56.21,19.7,9.81,13.86,9.49,6.2,3.5,4.85,1.88,5,8.05,1,4.46,89883884,88,10060.7,8.96,20.97,6880.01,0.12,24.16,10.89,NA,3.78,NA,5,Large city,MEATLESS MONDAYFor one day the Viking Marketplace is going completely meatless!  Every meal on March 25 will be prepared without animal protein.  Meet and greet the students from S.A.V.E. CSU and listen as they explain the benefits of reducing or eliminating your animal protein intake.  Monday March 25 at 7:00am to 8:00pmStudent Center Viking Marketplace (SC 212) 2121 Euclid Avenue Cleveland Ohio 44115-2214,NA,NA
Colby College,ME,-69.66337,44.564211,Gold,83.2,33.26,15.33,20.75,14.15,11,4.04,6.22,3.85,7,8.88,0.56,5.43,7.11E+08,714,2536.5,33.75,74.91,14167.91,0.47,44.89,38.22,10,0,NA,6,Small town,One of the dining halls Foss has Meatless Monday every Monday throughout the school year.,Yes,161086
Colgate University,NY,-75.536346,42.819475,Gold,72.19,31.16,15,14.25,13.36,1.67,1.47,0,2.54,7.25,4.56,0,3.14,8.49E+08,1780,3480.5,8.48,30.65,18337.98,0.3,19.98,20.48,28.1,0.81,NA,6,Small town,"Chartwells catering will provide reusable china upon request for a small upcharge. They will also incorporate local and sustainable foods upon request and provide compostable/ biodegradable plates and \plastic\""-wear upon request. """,Yes,190099
