"institution"	"location"	"stars_version"	"rating"	"valid_through"	"URL"	"latest_report"
"Bates College"	"United States,
              ME"	2.1	"Gold"	"Aug. 25, 2023"	"https://reports.aashe.org/institutions/bates-college-me/report/"	"https://reports.aashe.org/institutions/bates-college-me/report/2020-06-12/"
"Belmont University"	"United States,
              TN"	2.1	"Gold"	"Feb. 25, 2022"	"https://reports.aashe.org/institutions/belmont-university-tn/report/"	"https://reports.aashe.org/institutions/belmont-university-tn/report/2019-02-26/"
"Bennington College"	"United States,
              VT"	2.2	"Gold"	"Sept. 22, 2024"	"https://reports.aashe.org/institutions/bennington-college-vt/report/"	"https://reports.aashe.org/institutions/bennington-college-vt/report/2021-05-13/"
"Berea College"	"United States,
              KY"	2.1	"Gold
                
                    *"	"Dec. 10, 2020"	"https://reports.aashe.org/institutions/berea-college-ky/report/"	"https://reports.aashe.org/institutions/berea-college-ky/report/2017-06-14/"
"Binghamton University"	"United States,
              NY"	2.2	"Gold"	"March 5, 2023"	"https://reports.aashe.org/institutions/binghamton-university-ny/report/"	"https://reports.aashe.org/institutions/binghamton-university-ny/report/2020-03-05/"
"Bowdoin College"	"United States,
              ME"	2.1	"Gold"	"Feb. 27, 2022"	"https://reports.aashe.org/institutions/bowdoin-college-me/report/"	"https://reports.aashe.org/institutions/bowdoin-college-me/report/2019-02-28/"
"Bucknell University"	"United States,
              PA"	2.1	"Gold"	"Sept. 22, 2022"	"https://reports.aashe.org/institutions/bucknell-university-pa/report/"	"https://reports.aashe.org/institutions/bucknell-university-pa/report/2019-09-23/"
"California Polytechnic State University"	"United States,
              CA"	2.1	"Gold"	"Sept. 18, 2022"	"https://reports.aashe.org/institutions/california-polytechnic-state-university-ca/report/"	"https://reports.aashe.org/institutions/california-polytechnic-state-university-ca/report/2019-09-19/"
"California State University, Channel Islands"	"United States,
              CA"	2.2	"Gold"	"March 6, 2023"	"https://reports.aashe.org/institutions/california-state-university-channel-islands-ca/report/"	"https://reports.aashe.org/institutions/california-state-university-channel-islands-ca/report/2020-03-06/"
"California State University, Chico"	"United States,
              CA"	2.1	"Gold"	"Aug. 26, 2021"	"https://reports.aashe.org/institutions/california-state-university-chico-ca/report/"	"https://reports.aashe.org/institutions/california-state-university-chico-ca/report/2018-02-28/"
"California State University, Northridge"	"United States,
              CA"	2.1	"Gold"	"Dec. 9, 2021"	"https://reports.aashe.org/institutions/california-state-university-northridge-ca/report/"	"https://reports.aashe.org/institutions/california-state-university-northridge-ca/report/2018-12-10/"
"California State University, Sacramento"	"United States,
              CA"	2.2	"Gold"	"April 22, 2024"	"https://reports.aashe.org/institutions/california-state-university-sacramento-ca/report/"	"https://reports.aashe.org/institutions/california-state-university-sacramento-ca/report/2021-03-01/"
"California State University, San Marcos"	"United States,
              CA"	2.2	"Gold"	"Feb. 18, 2024"	"https://reports.aashe.org/institutions/california-state-university-san-marcos-ca/report/"	"https://reports.aashe.org/institutions/california-state-university-san-marcos-ca/report/2020-12-18/"
"Carnegie Mellon University"	"United States,
              PA"	2.1	"Gold"	"Feb. 6, 2022"	"https://reports.aashe.org/institutions/carnegie-mellon-university-pa/report/"	"https://reports.aashe.org/institutions/carnegie-mellon-university-pa/report/2019-02-07/"
"Central Michigan University"	"United States,
              MI"	2.2	"Gold"	"Feb. 3, 2024"	"https://reports.aashe.org/institutions/central-michigan-university-mi/report/"	"https://reports.aashe.org/institutions/central-michigan-university-mi/report/2020-10-15/"
"Chatham University"	"United States,
              PA"	2.1	"Gold"	"Nov. 25, 2021"	"https://reports.aashe.org/institutions/chatham-university-pa/report/"	"https://reports.aashe.org/institutions/chatham-university-pa/report/2018-11-26/"
"Clarkson University"	"United States,
              NY"	2.1	"Gold"	"Feb. 21, 2022"	"https://reports.aashe.org/institutions/clarkson-university-ny/report/"	"https://reports.aashe.org/institutions/clarkson-university-ny/report/2019-02-22/"
"Colby College"	"United States,
              ME"	2.1	"Gold"	"Nov. 4, 2021"	"https://reports.aashe.org/institutions/colby-college-me/report/"	"https://reports.aashe.org/institutions/colby-college-me/report/2018-11-05/"
"Colgate University"	"United States,
              NY"	2.1	"Gold
                
                    *"	"Feb. 6, 2021"	"https://reports.aashe.org/institutions/colgate-university-ny/report/"	"https://reports.aashe.org/institutions/colgate-university-ny/report/2017-08-11/"
"College of the Atlantic"	"United States,
              ME"	2.1	"Gold"	"Feb. 28, 2022"	"https://reports.aashe.org/institutions/college-of-the-atlantic-me/report/"	"https://reports.aashe.org/institutions/college-of-the-atlantic-me/report/2019-03-01/"
"Colorado College"	"United States,
              CO"	2.2	"Gold"	"May 3, 2024"	"https://reports.aashe.org/institutions/colorado-college-co/report/"	"https://reports.aashe.org/institutions/colorado-college-co/report/2021-03-05/"
"Columbia University"	"United States,
              NY"	2.1	"Gold"	"Aug. 28, 2021"	"https://reports.aashe.org/institutions/columbia-university-ny/report/"	"https://reports.aashe.org/institutions/columbia-university-ny/report/2018-08-29/"
"Concordia University"	"Canada,
              QC"	2	"Gold
                
                    *"	"Nov. 21, 2020"	"https://reports.aashe.org/institutions/concordia-university-qc/report/"	"https://reports.aashe.org/institutions/concordia-university-qc/report/2017-05-26/"
"Connecticut College"	"United States,
              CT"	2.2	"Gold"	"July 28, 2024"	"https://reports.aashe.org/institutions/connecticut-college-ct/report/"	"https://reports.aashe.org/institutions/connecticut-college-ct/report/2021-06-18/"
"Dalhousie University"	"Canada,
              NS"	2.2	"Gold"	"Sept. 14, 2024"	"https://reports.aashe.org/institutions/dalhousie-university-ns/report/"	"https://reports.aashe.org/institutions/dalhousie-university-ns/report/2021-07-21/"
"Dawson College"	"Canada,
              QC"	2.1	"Gold"	"Dec. 7, 2023"	"https://reports.aashe.org/institutions/dawson-college-qc/report/"	"https://reports.aashe.orgNA"
"Denison University"	"United States,
              OH"	2.1	"Gold"	"Feb. 27, 2022"	"https://reports.aashe.org/institutions/denison-university-oh/report/"	"https://reports.aashe.org/institutions/denison-university-oh/report/2019-02-28/"
"Dickinson College"	"United States,
              PA"	2.2	"Gold"	"April 11, 2024"	"https://reports.aashe.org/institutions/dickinson-college-pa/report/"	"https://reports.aashe.org/institutions/dickinson-college-pa/report/2021-03-05/"
"Emerson College"	"United States,
              MA"	2.1	"Gold"	"Sept. 25, 2021"	"https://reports.aashe.org/institutions/emerson-college-ma/report/"	"https://reports.aashe.org/institutions/emerson-college-ma/report/2018-03-30/"
"Emory University"	"United States,
              GA"	2.2	"Gold"	"April 20, 2024"	"https://reports.aashe.org/institutions/emory-university-ga/report/"	"https://reports.aashe.org/institutions/emory-university-ga/report/2021-03-05/"
"Fanshawe College"	"Canada,
              ON"	2.1	"Gold"	"Nov. 29, 2021"	"https://reports.aashe.org/institutions/fanshawe-college-on/report/"	"https://reports.aashe.org/institutions/fanshawe-college-on/report/2018-11-30/"
"Fleming College"	"Canada,
              ON"	2.1	"Gold"	"Aug. 22, 2022"	"https://reports.aashe.org/institutions/fleming-college-on/report/"	"https://reports.aashe.org/institutions/fleming-college-on/report/2019-08-23/"
"Florida Gulf Coast University"	"United States,
              FL"	2.2	"Gold"	"Dec. 4, 2023"	"https://reports.aashe.org/institutions/florida-gulf-coast-university-fl/report/"	"https://reports.aashe.org/institutions/florida-gulf-coast-university-fl/report/2020-07-23/"
"Florida State University"	"United States,
              FL"	2.1	"Gold"	"Dec. 18, 2021"	"https://reports.aashe.org/institutions/florida-state-university-fl/report/"	"https://reports.aashe.org/institutions/florida-state-university-fl/report/2018-12-19/"
"Furman University"	"United States,
              SC"	2.2	"Gold"	"Sept. 6, 2024"	"https://reports.aashe.org/institutions/furman-university-sc/report/"	"https://reports.aashe.org/institutions/furman-university-sc/report/2021-06-22/"
"George Mason University"	"United States,
              VA"	2.2	"Gold"	"Feb. 19, 2024"	"https://reports.aashe.org/institutions/george-mason-university-va/report/"	"https://reports.aashe.org/institutions/george-mason-university-va/report/2021-01-08/"
"George Washington University"	"United States,
              DC"	2.2	"Gold"	"March 5, 2023"	"https://reports.aashe.org/institutions/george-washington-university-dc/report/"	"https://reports.aashe.org/institutions/george-washington-university-dc/report/2020-03-05/"
"Gonzaga University"	"United States,
              WA"	2.2	"Gold"	"Nov. 12, 2023"	"https://reports.aashe.org/institutions/gonzaga-university-wa/report/"	"https://reports.aashe.org/institutions/gonzaga-university-wa/report/2020-09-23/"
"Grand Valley State University"	"United States,
              MI"	2.2	"Gold"	"May 5, 2024"	"https://reports.aashe.org/institutions/grand-valley-state-university-mi/report/"	"https://reports.aashe.org/institutions/grand-valley-state-university-mi/report/2021-03-05/"
"Green Mountain College"	"United States,
              VT"	2.1	"Gold"	"Aug. 21, 2021"	"https://reports.aashe.org/institutions/green-mountain-college-vt/report/"	"https://reports.aashe.org/institutions/green-mountain-college-vt/report/2018-02-23/"
"HEC Montréal"	"Canada,
              QC"	2.2	"Gold"	"April 22, 2024"	"https://reports.aashe.org/institutions/hec-montreal-pa/report/"	"https://reports.aashe.org/institutions/hec-montreal-pa/report/2021-02-10/"
"Hampshire College"	"United States,
              MA"	2.1	"Gold"	"Sept. 25, 2021"	"https://reports.aashe.org/institutions/hampshire-college-ma/report/"	"https://reports.aashe.orgNA"
"Haywood Community College"	"United States,
              NC"	1.2	"Gold
                
                    *"	"April 5, 2015"	"https://reports.aashe.org/institutions/haywood-community-college-nc/report/"	"https://reports.aashe.org/institutions/haywood-community-college-nc/report/2012-04-05/"
"Humber College"	"Canada,
              ON"	2.2	"Gold"	"Oct. 23, 2022"	"https://reports.aashe.org/institutions/humber-college-on/report/"	"https://reports.aashe.org/institutions/humber-college-on/report/2019-10-24/"
"Humboldt State University"	"United States,
              CA"	2.2	"Gold"	"May 7, 2023"	"https://reports.aashe.org/institutions/humboldt-state-university-ca/report/"	"https://reports.aashe.org/institutions/humboldt-state-university-ca/report/2020-05-07/"
"Indiana University Bloomington"	"United States,
              IN"	2.2	"Gold"	"Feb. 25, 2023"	"https://reports.aashe.org/institutions/indiana-university-bloomington-in/report/"	"https://reports.aashe.org/institutions/indiana-university-bloomington-in/report/2020-02-26/"
"Indiana University-Purdue University Indianapolis (IUPUI)"	"United States,
              IN"	2.2	"Gold"	"May 11, 2024"	"https://reports.aashe.org/institutions/indiana-university-purdue-university-indianapolis-in/report/"	"https://reports.aashe.org/institutions/indiana-university-purdue-university-indianapolis-in/report/2020-12-14/"
"Iowa State University"	"United States,
              IA"	2.1	"Gold"	"Aug. 29, 2022"	"https://reports.aashe.org/institutions/iowa-state-university-ia/report/"	"https://reports.aashe.org/institutions/iowa-state-university-ia/report/2019-08-30/"
"Ithaca College"	"United States,
              NY"	2.1	"Gold"	"Nov. 24, 2022"	"https://reports.aashe.org/institutions/ithaca-college-ny/report/"	"https://reports.aashe.org/institutions/ithaca-college-ny/report/2019-11-25/"
"James Madison University"	"United States,
              VA"	2.1	"Gold"	"Dec. 20, 2021"	"https://reports.aashe.org/institutions/james-madison-university-va/report/"	"https://reports.aashe.org/institutions/james-madison-university-va/report/2018-12-21/"
"Kankakee Community College"	"United States,
              IL"	2	"Gold
                
                    *"	"Feb. 2, 2018"	"https://reports.aashe.org/institutions/kankakee-community-college-il/report/"	"https://reports.aashe.org/institutions/kankakee-community-college-il/report/2015-02-03/"
"Keene State College"	"United States,
              NH"	2.2	"Gold"	"March 30, 2024"	"https://reports.aashe.org/institutions/keene-state-college-nh/report/"	"https://reports.aashe.org/institutions/keene-state-college-nh/report/2021-03-04/"
"Lehigh University"	"United States,
              PA"	2.2	"Gold"	"April 11, 2024"	"https://reports.aashe.org/institutions/lehigh-university-pa/report/"	"https://reports.aashe.org/institutions/lehigh-university-pa/report/2021-02-26/"
"Lewis & Clark College"	"United States,
              OR"	2.2	"Gold"	"March 6, 2023"	"https://reports.aashe.org/institutions/lewis-clark-college-or/report/"	"https://reports.aashe.org/institutions/lewis-clark-college-or/report/2020-03-06/"
"Loyola Marymount University"	"United States,
              CA"	2.2	"Gold"	"May 16, 2024"	"https://reports.aashe.org/institutions/loyola-marymount-university-ca/report/"	"https://reports.aashe.org/institutions/loyola-marymount-university-ca/report/2021-03-05/"
"Loyola University Chicago"	"United States,
              IL"	2.2	"Gold"	"March 6, 2023"	"https://reports.aashe.org/institutions/loyola-university-chicago-il/report/"	"https://reports.aashe.org/institutions/loyola-university-chicago-il/report/2020-03-06/"
"Luther College"	"United States,
              IA"	2.1	"Gold"	"Feb. 28, 2022"	"https://reports.aashe.org/institutions/luther-college-ia/report/"	"https://reports.aashe.org/institutions/luther-college-ia/report/2019-03-01/"
"Macalester College"	"United States,
              MN"	2.2	"Gold"	"April 18, 2024"	"https://reports.aashe.org/institutions/macalester-college-mn/report/"	"https://reports.aashe.org/institutions/macalester-college-mn/report/2021-01-19/"
"Massachusetts Institute of Technology"	"United States,
              MA"	2.1	"Gold"	"Oct. 22, 2021"	"https://reports.aashe.org/institutions/massachusetts-institute-of-technology-ma/report/"	"https://reports.aashe.orgNA"
"McGill University"	"Canada,
              QC"	2.2	"Gold"	"Feb. 2, 2024"	"https://reports.aashe.org/institutions/mcgill-university-qc/report/"	"https://reports.aashe.org/institutions/mcgill-university-qc/report/2020-12-11/"
"Miami University"	"United States,
              OH"	2.1	"Gold"	"Feb. 28, 2022"	"https://reports.aashe.org/institutions/miami-university-oh/report/"	"https://reports.aashe.org/institutions/miami-university-oh/report/2019-03-01/"
"Michigan State University"	"United States,
              MI"	2.1	"Gold"	"Feb. 27, 2022"	"https://reports.aashe.org/institutions/michigan-state-university-mi/report/"	"https://reports.aashe.org/institutions/michigan-state-university-mi/report/2019-02-28/"
"Middlebury College"	"United States,
              VT"	2	"Gold
                
                    *"	"Dec. 5, 2020"	"https://reports.aashe.org/institutions/middlebury-college-vt/report/"	"https://reports.aashe.org/institutions/middlebury-college-vt/report/2017-06-09/"
"Mohawk College"	"Canada,
              ON"	2.1	"Gold"	"Jan. 21, 2022"	"https://reports.aashe.org/institutions/mohawk-college-on/report/"	"https://reports.aashe.org/institutions/mohawk-college-on/report/2019-01-22/"
"Muhlenberg College"	"United States,
              PA"	2.1	"Gold"	"Dec. 2, 2021"	"https://reports.aashe.org/institutions/muhlenberg-college-pa/report/"	"https://reports.aashe.org/institutions/muhlenberg-college-pa/report/2018-06-06/"
"National University of Ireland, Galway"	"Ireland"	2.2	"Gold"	"Oct. 28, 2024"	"https://reports.aashe.org/institutions/nui-galway/report/"	"https://reports.aashe.orgNA"
"New York University"	"United States,
              NY"	2.1	"Gold"	"Feb. 6, 2023"	"https://reports.aashe.org/institutions/new-york-university-ny/report/"	"https://reports.aashe.org/institutions/new-york-university-ny/report/2020-02-07/"
"North Carolina State University"	"United States,
              NC"	2	"Gold
                
                    *"	"Jan. 4, 2019"	"https://reports.aashe.org/institutions/north-carolina-state-university-nc/report/"	"https://reports.aashe.org/institutions/north-carolina-state-university-nc/report/2016-01-05/"
"Northern Arizona University"	"United States,
              AZ"	2.2	"Gold"	"Jan. 5, 2024"	"https://reports.aashe.org/institutions/northern-arizona-university-az/report/"	"https://reports.aashe.org/institutions/northern-arizona-university-az/report/2020-09-28/"
"Northland College"	"United States,
              WI"	2.2	"Gold"	"May 9, 2024"	"https://reports.aashe.org/institutions/northland-college-wi/report/"	"https://reports.aashe.org/institutions/northland-college-wi/report/2021-02-26/"
"Northwestern University"	"United States,
              IL"	2.2	"Gold"	"March 6, 2023"	"https://reports.aashe.org/institutions/northwestern-university-il/report/"	"https://reports.aashe.org/institutions/northwestern-university-il/report/2020-03-06/"
"Nova Scotia Community College"	"Canada,
              NS"	2.2	"Gold"	"March 6, 2023"	"https://reports.aashe.org/institutions/nova-scotia-community-college-ns/report/"	"https://reports.aashe.org/institutions/nova-scotia-community-college-ns/report/2020-03-06/"
"Oberlin College"	"United States,
              OH"	2	"Gold
                
                    *"	"Sept. 4, 2020"	"https://reports.aashe.org/institutions/oberlin-college-oh/report/"	"https://reports.aashe.org/institutions/oberlin-college-oh/report/2017-03-09/"
"Oregon State University"	"United States,
              OR"	2.2	"Gold"	"March 8, 2024"	"https://reports.aashe.org/institutions/oregon-state-university-or/report/"	"https://reports.aashe.org/institutions/oregon-state-university-or/report/2020-12-23/"
"Pacific Lutheran University"	"United States,
              WA"	1.1	"Gold
                
                    *"	"March 11, 2016"	"https://reports.aashe.org/institutions/pacific-lutheran-university-wa/report/"	"https://reports.aashe.org/institutions/pacific-lutheran-university-wa/report/2013-03-12/"
"Pennsylvania State University"	"United States,
              PA"	2.2	"Gold"	"Jan. 25, 2024"	"https://reports.aashe.org/institutions/pennsylvania-state-university-pa/report/"	"https://reports.aashe.org/institutions/pennsylvania-state-university-pa/report/2020-12-17/"
"Polytechnique Montreal"	"Canada,
              QC"	2.1	"Gold"	"June 2, 2022"	"https://reports.aashe.org/institutions/polytechnique-montreal-qc/report/"	"https://reports.aashe.org/institutions/polytechnique-montreal-qc/report/2019-06-03/"
"Pomona College"	"United States,
              CA"	2	"Gold
                
                    *"	"Oct. 28, 2018"	"https://reports.aashe.org/institutions/pomona-college-ca/report/"	"https://reports.aashe.org/institutions/pomona-college-ca/report/2015-10-29/"
"Portland State University"	"United States,
              OR"	2.2	"Gold"	"April 28, 2024"	"https://reports.aashe.org/institutions/portland-state-university-or/report/"	"https://reports.aashe.org/institutions/portland-state-university-or/report/2021-03-05/"
"Princeton University"	"United States,
              NJ"	2.1	"Gold"	"Aug. 26, 2021"	"https://reports.aashe.org/institutions/princeton-university-nj/report/"	"https://reports.aashe.org/institutions/princeton-university-nj/report/2018-02-28/"
"Rice University"	"United States,
              TX"	2.1	"Gold
                
                    *"	"April 10, 2021"	"https://reports.aashe.org/institutions/rice-university-tx/report/"	"https://reports.aashe.org/institutions/rice-university-tx/report/2017-10-13/"
"Royal Roads University"	"Canada,
              BC"	1.1	"Gold
                
                    *"	"May 25, 2017"	"https://reports.aashe.org/institutions/royal-roads-university-bc/report/"	"https://reports.aashe.org/institutions/royal-roads-university-bc/report/2014-05-26/"
"Saint Mary's College of California"	"United States,
              CA"	2.2	"Gold"	"Feb. 25, 2023"	"https://reports.aashe.org/institutions/saint-marys-college-of-california-ca/report/"	"https://reports.aashe.org/institutions/saint-marys-college-of-california-ca/report/2020-02-26/"
"San Diego State University"	"United States,
              CA"	2.1	"Gold"	"Oct. 23, 2023"	"https://reports.aashe.org/institutions/san-diego-state-university-ca/report/"	"https://reports.aashe.org/institutions/san-diego-state-university-ca/report/2020-07-31/"
"San Jose State University"	"United States,
              CA"	2.2	"Gold"	"March 6, 2023"	"https://reports.aashe.org/institutions/san-jose-state-university-ca/report/"	"https://reports.aashe.org/institutions/san-jose-state-university-ca/report/2020-03-06/"
"Santa Clara University"	"United States,
              CA"	2.2	"Gold"	"Feb. 26, 2023"	"https://reports.aashe.org/institutions/santa-clara-university-ca/report/"	"https://reports.aashe.org/institutions/santa-clara-university-ca/report/2020-02-27/"
"Seattle University"	"United States,
              WA"	2.2	"Gold"	"May 11, 2024"	"https://reports.aashe.org/institutions/seattle-university-wa/report/"	"https://reports.aashe.org/institutions/seattle-university-wa/report/2021-03-05/"
"Simon Fraser University"	"Canada,
              BC"	2.1	"Gold"	"Oct. 4, 2021"	"https://reports.aashe.org/institutions/simon-fraser-university-bc/report/"	"https://reports.aashe.org/institutions/simon-fraser-university-bc/report/2018-10-05/"
"St. John's University, New York"	"United States,
              NY"	2	"Gold
                
                    *"	"March 14, 2019"	"https://reports.aashe.org/institutions/st-johns-university-ny/report/"	"https://reports.aashe.org/institutions/st-johns-university-ny/report/2016-03-14/"
"State University of New York at Cortland"	"United States,
              NY"	2.1	"Gold"	"Feb. 24, 2022"	"https://reports.aashe.org/institutions/state-university-of-new-york-at-cortland-ny/report/"	"https://reports.aashe.org/institutions/state-university-of-new-york-at-cortland-ny/report/2019-02-25/"
"Sterling College (VT)"	"United States,
              VT"	2.1	"Gold"	"May 9, 2024"	"https://reports.aashe.org/institutions/sterling-college-vt/report/"	"https://reports.aashe.org/institutions/sterling-college-vt/report/2021-03-05/"
"Stevens Institute of Technology"	"United States,
              NJ"	2.2	"Gold"	"March 2, 2023"	"https://reports.aashe.org/institutions/stevens-institute-of-technology-nj/report/"	"https://reports.aashe.org/institutions/stevens-institute-of-technology-nj/report/2020-03-02/"
"Texas A&M University"	"United States,
              TX"	2.2	"Gold"	"Feb. 5, 2024"	"https://reports.aashe.org/institutions/texas-am-university-tx/report/"	"https://reports.aashe.org/institutions/texas-am-university-tx/report/2020-12-11/"
"The American College of Greece"	"Greece,
              Aghia Paraskevi"	2.2	"Gold"	"Feb. 10, 2023"	"https://reports.aashe.org/institutions/the-american-college-of-greece-deree-aghia-paraskevi/report/"	"https://reports.aashe.org/institutions/the-american-college-of-greece-deree-aghia-paraskevi/report/2020-02-11/"
"The Ohio State University"	"United States,
              OH"	2.1	"Gold"	"Jan. 17, 2022"	"https://reports.aashe.org/institutions/the-ohio-state-university-oh/report/"	"https://reports.aashe.org/institutions/the-ohio-state-university-oh/report/2019-01-18/"
"The University of Texas at Dallas"	"United States,
              TX"	2.1	"Gold"	"Sept. 10, 2022"	"https://reports.aashe.org/institutions/university-of-texas-at-dallas-tx/report/"	"https://reports.aashe.org/institutions/university-of-texas-at-dallas-tx/report/2019-09-11/"
"Unity College"	"United States,
              ME"	2.1	"Gold"	"March 21, 2022"	"https://reports.aashe.org/institutions/unity-college-me/report/"	"https://reports.aashe.org/institutions/unity-college-me/report/2019-03-22/"
"Universite Laval"	"Canada,
              QC"	2.1	"Gold"	"Dec. 11, 2022"	"https://reports.aashe.org/institutions/universite-laval-qc/report/"	"https://reports.aashe.org/institutions/universite-laval-qc/report/2019-12-12/"
"University College Cork - National University of Ireland, Cork"	"Ireland,
              Co. Cork"	2.1	"Gold
                
                    *"	"July 19, 2021"	"https://reports.aashe.org/institutions/university-college-cork-national-university-of-ireland-cork-co-corcaigh/report/"	"https://reports.aashe.orgNA"
"University at Albany"	"United States,
              NY"	2.1	"Gold"	"Dec. 20, 2021"	"https://reports.aashe.org/institutions/university-at-albany-ny/report/"	"https://reports.aashe.org/institutions/university-at-albany-ny/report/2018-12-21/"
"University at Buffalo"	"United States,
              NY"	2.1	"Gold"	"Dec. 13, 2021"	"https://reports.aashe.org/institutions/university-at-buffalo-ny/report/"	"https://reports.aashe.org/institutions/university-at-buffalo-ny/report/2018-12-14/"
"University of Alaska Fairbanks"	"United States,
              AK"	1	"Gold
                
                    *"	"Aug. 25, 2014"	"https://reports.aashe.org/institutions/university-of-alaska-fairbanks-ak/report/"	"https://reports.aashe.orgNA"
"University of Alberta"	"Canada,
              AB"	2.1	"Gold"	"Oct. 5, 2023"	"https://reports.aashe.org/institutions/university-of-alberta-ab/report/"	"https://reports.aashe.org/institutions/university-of-alberta-ab/report/2020-06-24/"
"University of Arizona"	"United States,
              AZ"	2.1	"Gold
                
                    *"	"Oct. 28, 2020"	"https://reports.aashe.org/institutions/university-of-arizona-az/report/"	"https://reports.aashe.org/institutions/university-of-arizona-az/report/2017-05-02/"
"University of Arkansas"	"United States,
              AR"	2.1	"Gold"	"May 16, 2024"	"https://reports.aashe.org/institutions/university-of-arkansas-ar/report/"	"https://reports.aashe.org/institutions/university-of-arkansas-ar/report/2021-03-05/"
"University of British Columbia"	"Canada,
              BC"	2	"Gold
                
                    *"	"Aug. 3, 2018"	"https://reports.aashe.org/institutions/university-of-british-columbia-bc/report/"	"https://reports.aashe.org/institutions/university-of-british-columbia-bc/report/2015-08-04/"
"University of Calgary"	"Canada,
              AB"	2.1	"Gold"	"Dec. 12, 2021"	"https://reports.aashe.org/institutions/university-of-calgary-ab/report/"	"https://reports.aashe.org/institutions/university-of-calgary-ab/report/2018-12-13/"
"University of California, Davis"	"United States,
              CA"	2.2	"Gold"	"March 6, 2023"	"https://reports.aashe.org/institutions/university-of-california-davis-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-davis-ca/report/2020-03-06/"
"University of California, Los Angeles"	"United States,
              CA"	2.2	"Gold"	"March 6, 2023"	"https://reports.aashe.org/institutions/university-of-california-los-angeles-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-los-angeles-ca/report/2020-03-06/"
