institution,endowment,area,climate,size,classes,renewables,water,waste,recycling,research,real_food,gge,plant_based,locale,low,monday,budget
Boise State University,117258661,289.31,5,13367,5.17,1.63,11508.32,0.37,7.68,10.52,4.1,2.11,16.2,Large city,Daily multiple stations offer a variety of plant forward and vegetarian options including entrees sides soups sandwiches and vegetarian burgers.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Boston College,2.40E+09,340,5,14186.25,5.93,0,99.54,0.28,36,8.64,0,3.39,NA,Urban fringe of large city,BC Dining engages students in low impact events focusing on reducing food waste sampling sustainable and regional foods and reducing meat consumption. We hold a Trash Dinner where food scraps from the week are collected and transformed into a creative meal that can feature items such as salmon shoulder and pickled cucumber ends. Every Thursday the FRESH showcase kitchen engages students in sustainable food related conversations and hands out samples of dishes that meet two of the FRESH parameters: Fairly traded Regional Equitable Sustainable Healthy. We are also hosting a Plant-Based Pop-Up event where students buy tickets to a dining experience that will feature five courses of all vegan dishes. ,Yes,NA
Boston University,2207565000,906,5,29490.75,3.97,NA,13580.76,0.32,38.64,25.5,18.71,4.28,NA,Large city,"The \Wholesome Roots\"" program is a menu schedule rotation between our dining halls that focuses on healthy nutritious and low carbon meals. It's also an opportunity for education through station signs posters website and Facebook postings and table tents that discuss what makes each meal sustainable. No beef or pork is served on these days and the focus is on local produce sustainable seafood as well as more vegetarian and vegan options. Wholesome Roots rotates Monday through Wednesday at the different dining halls. At least once a month the Sustainability Director for Dining Services demos new plant-based dishes to increase student awareness of low-impact foods and expose them to new plant proteins (e.g. seitan tempeh grain burgers etc.)""",Yes,NA
Bowdoin College,1628165000,527.5,6,2493.25,34.04,28.37,19851.24,0.51,49.77,45.62,20.1,0,NA,Small town,Bowdoin Dining has collaborated with several student groups to educate diners about carbon footprint as it relates to our menu items.  Students calculated carbon footprints and experimented to determine the most effective way to affect dining decisions based on this information.  These exercises have been very positive both for our culinary staff and customers. ,Yes,NA
Bryant University,183756000,435,5,3733.5,13.96,0,13190.3,0.25,45.07,16.92,NA,4.24,NA,Small town,,No,NA
Bucknell University,8.44E+08,581,5,4698.75,13.8,3.19,18192.04,0.48,45.24,24.03,2.7,6.43,NA,Small town,,No,NA
Butler University,220426000,295,5,4939,3.47,0,11691.76,0.08,28.79,NA,6,5.97,NA,Large city,Dining halls host sustainable eating events during Campus Sustainability Month in October. The dates and times are published in the daily newsletters to students and posted on social media. ,Yes,NA
California Polytechnic State University,220500000,1321,3,19117,7.25,9.1,8460.41,0.19,39.6,49.38,5,0.82,NA,Large town,Campus Dining hosts biweekly FriYay dinners for residential diners. FriYay dinners always feature at least one vegan option such as pan seared cauliflower steak with chimichurri. We also feature a FYUL (Fueling Your University Life) program throughout campus. FYUL highlights vegan recipes and the environmental financial and health benefits that they offer.,Yes,NA
California State Polytechnic University Pomona,96100000,1438,3,19437.75,28.43,3.23,7210.53,0.13,31.05,38.75,3,1.18,NA,Urban fringe of large city,Our campus dining services hold occasional Los Vegan events where all the meals offered that day evening are vegan meals. The events were so successful that what began as a one day event has become a more reoccurring event.  ,Yes,NA
California State University Bakersfield,23900000,375,3,5565.25,3.95,23.07,26124.12,0.04,20.69,14.29,NA,2.12,NA,Large city,Aramark runs specials including Meatless Mondays featuring vegetarian and vegan meals and Fit Fridays which feature low-calorie and vegan/vegatarian options as the primary meal feature.,Yes,NA
California State University Channel Islands,13712947,814.44,3,5307.78,10.51,0,6298.81,0.21,67.92,32.67,0.4,1.65,60.31,Urban fringe of mid-size city,"With the expansion of Islands Cafe in Fall 2016 a dedicated \Farmers Market\"" station opened to provide organic vegetarian vegan and gluten-free options. The station is entirely plant-based featuring a variety of vegetarian and vegan entrees including vegan tacos quesadillas grilled \""cheese\"" sandwiches asian stir-fry bowls and fruit smoothies. """,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
California State University Chico,60995401,4962,3,13995.25,13.44,0.87,3936.62,0.15,45.76,43.4,16,0.8,NA,Large town,"Sutter Dining Hall recently hosted an insect-based \entomophagy\"" meal to highlight the lower environmental impact of insects as a protein source instead of beef or other meats.""",Yes,NA
California State University Dominguez Hills,12543000,346,3,10397.18,4.68,1.87,1111.68,0.08,60.91,8.53,NA,0.52,NA,Urban fringe of large city,As a result of previous food advisory forum feedback Campus Dining currently offers vegan options at every meal in Campus Dining eateries.  These options are promoted with special logos on eatery menus.,NA,NA
California State University East Bay,17090644,748,3,11164.5,1.61,0,6933.3,0.21,44.97,14.23,0,0.99,NA,Urban fringe of large city,"\Meatless Monday began in 2003 an international movement to help people reduce their meat consumption by 15% to improve personal health and the health of the planet. Monday is the beginning of the week making it the perfect time to reevaluate our choices and set our intentions for the coming days. The occasional meatless meal can also help cut your carbon footprint and save precious resources like fresh water and fossil fuel.\""http://www.csueastbay.edu/sustainability/operations/dining.html""",Yes,NA
California State University Fresno,161500000,1399,3,17703.25,9.32,NA,,,NA,6.47,NA,5.29,NA,Large city,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,NA
California State University Fullerton,57466000,240.6,2,26163.32,5.85,5.52,4899.84,0.1,56.66,42.53,1,0.81,NA,Urban fringe of large city,The Gastronome provides low impact dining events every day. Each station has a vegan option as well as protein starch and vegetable option. This is true for every meal period breakfast lunch and dinner.  https://campusinsights.aramark.com/resources-blog/plant-forward-dining-on-higher-education-campuses?utm_campaign=Dining&utm_source=Aramark%20Resources&utm_medium=aramark.com,Yes,NA
California State University Long Beach,79351656,322,2,25633.9,3.37,8.27,5202.11,0.22,48.58,6.45,1.01,0.76,37.35,Large city,Mindful Monday meals are served in the residential dining halls to raise awareness about low-impact food options. All residential dining halls also offer at least one plant-based option at each of their food stations.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
California State University Los Angeles,40071000,175,3,19504,7.62,0.75,4285.19,0.15,62.53,11.86,0,0.92,NA,Large city,The dormitory dining commons has meatless nights once every 6 week cycle. ,Yes,NA
California State University Monterey Bay,2500700,1396,3,6855,6.62,16.83,10730.28,0.36,43.56,75.47,0,0.78,71,Large town,Meatless Mondays :  Every Monday we highlight the vegetarian options in the dining room.  For example Broccoli Cheddar Baked Stuffed Potato Cheese Pizza Mad Mex Vegetarian Quesadilla Citrus Grain Salad Roasted Curry Tofu Lentil Dal and Curry Roasted Vegetables Stir-Fried Cabbage Peppers and Peas.A few examples of low impact dining events on campus are farm to table events where we feature special and unique seasonal produce and dishes. We always ensure that we have meatless and vegan options at all times.,NA,"
      
      
        









  
    $5 million - $9.9 million
  





  
  

  

  


      
    "
California State University Northridge,102610732,356,3,24770,23.28,8.01,6460.91,0.12,59.23,27.85,7,1.13,NA,Large town,CSUN Dining through The University Corporation hosts low impact dining events throughout the semester.  ,Yes,NA
California State University Sacramento,45581000,300,3,16184,13.67,6.42,4205.43,0.2,55.7,17.11,3,0.95,15,Large city,The Dining Commons has a dedicated station that offers vegetarian/vegan options daily. Additionally other stations in the Dining Commons offer a variety of vegetarian/vegan options.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
California State University San Bernardino,41117991,609,3,13989,6.2,NA,18413.26,0.15,48.53,9.8,NA,5.29,NA,Mid-size city,One of the most important things you can do is make a commitment to your health. Whether you are looking to eat healthier more balanced meals have food allergies or require a special diet we have something for everyone.If you live on campus and have food allergies or follow a special diet for medical religious or personal reasons we are happy to meet with you to discuss your concerns. During this process we will identify your needs and then look at options available to you. We will then determine the best solution regarding your meal plan. To begin the process please contact our Campus Executive ChefChartwells offers a no-cost notification to students who opt-in when food is available at the end of service each day in resident dining facilities. Much food is wasted at the end of each service period when guest volumes decrease. Our notification system allows students to come to the resident dining facility show their invite to the cashier and enter without a swipe. Students may fill a to-go container with food that is available on the lines. Notifications are sent whenever product is available about 10-15 minutes prior to close so that food is still available safe and doors are open.,NA,NA
California State University San Marcos,27957341,304,3,11184.38,4.66,0.3,2120.62,0.1,44.32,30,NA,0.59,NA,Mid-size city,Every Monday the Sustainability program promotes Meatless Monday.  We also promote food options around San Diego that are vegetarian and vegan.  Due to the fact that we do not have a cafeteria we are limited on campus but have worked with Sodexo our food service provider to offer more vegan and vegetarian offerings daily.,NA,NA
California State University Stanislaus,16552261,228.8,2,7891.8,10.96,10.98,2063.78,0.26,82.29,5.66,1.06,0.64,11.37,Mid-size city,Meatless Mondays and Indigenous food are offered in conjunction with university sustainability initiatives during Sustainability Month and Earth Week events.,NA,"
      
      
        









  
    Less than $500000
  





  
  

  

  


      
    "
Calvin University,1.77E+08,789,5,3945.9,10.2,0.02,10812.72,0.28,40.15,6.06,2,6.47,22,Urban fringe of mid-size city,Veg-out is an event where plant based dining is featured in the dining halls. Animal protein if served is reduced to a condiment rather than the focus.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Carleton College,868695391,1040,6,2480.44,24.78,22.99,18916.22,0.3,51.58,7.79,12,3.37,2,Small town,Yes and there are vegetarian specials with every meat special. For Climate Action Week low-impact dining options are highlighted (ie. low water use vegan or vegetarian etc.),NA,"
      
      
        









  
    $500000 - $999999
  





  
  

  

  


      
    "
Carnegie Mellon University,1718582585,152.5,5,12944,18.18,47.03,10457.59,0.35,32.2,59.44,NA,2.52,NA,Large city,In addition to Meatless Mondays events Chartwells offers guests delicious options with a consciously designed menu that emphasizes less meat and more produce and whole grains.  From vegan biscuits and gravy to Chartwells signature Chickpea Burger the cafe' offers dinner classics with a healthy and meatless twist.,Yes,NA
Cascadia College,0,132,4,2355.75,10.2,4.37,73.53,0,60,NA,NA,0,NA,Urban fringe of mid-size city,,NA,NA
Case Western Reserve University,1.66E+09,585,5,12296.5,6.72,0.22,16725.54,0.24,28.61,8.25,20,9.44,NA,Mid-size city,Bon Appetit does not have continually scheduled “Meatless Mondays” yet but on an everyday basis Bon Appétit has committed to continuing to shift the proteins they serve from animal- to plant-based sources. They have set specific ounces-per-guest-per-meal targets and launched detailed reporting on this and other metrics via the new dashboard for every company location to ensure accountability. Chefs are receiving training on moving their menus away from beef and cheese offering specifically defined reasonable portions of any animal protein (less than or equal to those of the U.S. Dietary Guidelines) and techniques to emphasize plant-based proteins.,Yes,NA
Central Community College,8700000,263.24,5,2030.5,14.3,30.87,6984.1,0.08,20.97,42.86,1.52,3.08,11.51,Mid-size city,Chartwells is driving change from the inside out with a landmark commitment to reduce food waste by 25% by 2020. As an all-campus initiative we make an effort in partnering with CCC to use menu items that have common crossover ingredients (that allow us to produce less initial food waste) accurately communicating the number of dining students and staff for each meal as as to avoid over-production of many food items and promoting two combined composting programs for food that winds up unuseable. Together we’re reducing waste at the source raising awareness and promoting solutions that positively impact the areas where we operate. Read more and take the Chartwells pledge at stopfoodwasteday.com,NA,"
      
      
        









  
    $500000 - $999999
  





  
  

  

  


      
    "
Central Michigan University,189321756,871,6,14155,9.02,2.73,6781.08,0.15,25.98,11.22,6.77,4.86,27.79,Large town,Central Michigan University practices Meatless Mondays.  Each Monday campus wide dining offers several vegetarian and vegan options in order to reduce the amount of animal products consumed on campus.  This initiative is advertised around campus and on social media.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Central New Mexico Community College,1853122,303.93,4,11328,10.36,5.51,1548.07,0.05,7.73,NA,NA,1.75,NA,Large city,,NA,NA
Central Washington University,36284257,380,4,14408.5,5.25,0.02,19555.9,0.1,32.71,8.7,0,2.15,NA,Large town,In the process of planning Food Waste week where awareness is brought to the impacts of food waste.,Yes,NA
Champlain College,24297680,27.3,6,2402.75,14.27,7.17,3843.39,0.32,59.87,16.4,10.55,1.46,NA,Large town,,No,NA
Chatham University,77709556,435,5,1269.5,17.7,68.25,8403.91,1.34,83.17,31.67,14.53,6.5,NA,Large city,One Monday a month there is a meatless Monday lunch on the main campus. All of the specials are meatless as are the main courses. The deli the grill and pizzas with animal products are served on-demand. ,Yes,NA
Claremont McKenna College,835306000,69,3,1642.25,40.86,0,22255.06,0.66,24.42,43.86,NA,3.57,NA,Small town,Once a semester the Impossible Burger event happens. In addition students host a farm to fork dinner twice a year which incorporates vegetables and herbs from the student garden and is 100% plant-based.,Yes,NA
Clarkson University,198326342,791,6,4140.5,17.01,3.08,9667.99,0.21,24.89,46.07,5,3.12,NA,Small town,Meatless Monday is promoted at Ross Brooks (our main eat-in dining area). We participated in world vegan day and national vegetarian day. For these types of events we convert the international grill station into a vegan station. ,Yes,NA
Clemson University,6.83E+08,642,3,22292.75,10.19,0.1,14700.22,0.19,30.22,24.59,9.3,4.87,NA,Small town,,No,NA
Cleveland State University,89883884,88,5,10060.7,8.96,20.97,6880.01,0.12,24.16,10.89,NA,3.78,NA,Large city,MEATLESS MONDAYFor one day the Viking Marketplace is going completely meatless!  Every meal on March 25 will be prepared without animal protein.  Meet and greet the students from S.A.V.E. CSU and listen as they explain the benefits of reducing or eliminating your animal protein intake.  Monday March 25 at 7:00am to 8:00pmStudent Center Viking Marketplace (SC 212) 2121 Euclid Avenue Cleveland Ohio 44115-2214,NA,NA
Colby College,7.11E+08,714,6,2536.5,33.75,74.91,14167.91,0.47,44.89,38.22,10,0,NA,Small town,One of the dining halls Foss has Meatless Monday every Monday throughout the school year.,Yes,NA
Colgate University,8.49E+08,1780,6,3480.5,8.48,30.65,18337.98,0.3,19.98,20.48,28.1,0.81,NA,Small town,"Chartwells catering will provide reusable china upon request for a small upcharge. They will also incorporate local and sustainable foods upon request and provide compostable/ biodegradable plates and \plastic\""-wear upon request. """,Yes,NA
College of Charleston,80900000,960,3,9147.49,8.15,NA,,,NA,31.56,1,5.29,16,Mid-size city,Vegan vegetarian and plant-based dining options are consistently offered at every dining facility on campus including Liberty Fresh Food and City Bistro. These venues has celebrated Meatless Mondays consistently. And through its Green Thread initiative the university's Dining Services partners with the Center for Sustainable Development to host events and workshops on plant-based living. ,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
College of Lake County,0,249.8,5,6730.5,20.23,0.01,3377.91,0.02,82.47,NA,NA,1.87,NA,Urban fringe of large city,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,NA
College of the Atlantic,60247996,349,6,376,45.51,35.49,6210.03,0.18,70.07,55.88,26.48,1.62,NA,Small town,Both dining centers on the COA campus a full dining hall and a small cafe strive for low impact dining everyday. Service options accommodate vegetarians vegans and meat-eaters including 3-4 vegetarian meals a week and using as many local and organic ingredients as possible. It is standard to offer meatless meals regularly throughout the five-days-a-week three-meals-a-day service. We also actively encourage students to bring their own dining ware to meals served outside of regular service to reduce the use of disposable items. ,Yes,NA
Colorado College,803826656,99,5,2733.25,17.93,17.73,37.049,0.297,48.6,22.5,12,0.01,0,Urban fringe of mid-size city,Colorado College implements almost Meatless Mondays at Rastall Dining Hall per student request.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Colorado State University,376063068,8618,5,27195.75,21.16,13.48,13284.61,0.31,58.79,49.54,5.5,5.05,NA,Mid-size city,Environmental Eats takes place multiple times a year at the Foundry Dining Center. The aim is to promote more sustainable food choices and to spread knowledge and information about different foods and their impacts. The hope is that this program will create more enthusiasm for sustainable food choices. The Eco Leaders program collaborates with dining staff to promote the campaign by providing samples of dishes as well as Environmental Eats stickers. The program is also promoted through digital signs table cards and integrated into our larger sustainability behavior change campaign Green Warrior.,Yes,NA
Columbia University in the City of New York,9.90E+09,58,4,29613.75,4.57,2.74,,0.14,21.55,19.73,50,NA,NA,Large city,,NA,NA
Connecticut College,347282130,750,5,2321.73,13.96,NA,13767.23,0.15,33.79,21.09,2.65,4.56,37.93,Urban fringe of mid-size city,Meatless Monday with plant-forward menus and very limited meat options were offered throughout 2019-2020 and will return after the pandemic restrictions on dining are lifted.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Cornell University,7229217333,2490,6,27819.25,16.09,20.2,12205.14,0.32,61.98,33.14,0.14,4.17,34.4,Mid-size city,"Cornell Dining hosts an annual \Sustainability Dinner\"" featuring locally sourced and sustainably sourced foods as well as the Fall Harvest dinner (described below). Additionally Cornell Dining works with the Food Recovery Network to redistribute leftover food from dinner services to local food shelters in Ithaca. Also Cornell Dining Student Sustainability Coordinators run weekly food waste audits in all-you-care-to-eat dining halls to quantify food waste and educate students about their individual food waste.""",NA,"
      
      
        









  
    $5 million - $9.9 million
  





  
  

  

  


      
    "
Cossatot Community College of the University of Arkansas,1221935032,355,4,21262.25,38.95,NA,10685.6,0.18,26.83,31.84,NA,NA,NA,Urban fringe of mid-size city,,NA,NA
Creighton University,525582000,139,5,7823.73,9.68,0.15,8471.72,0.12,11.3,2.68,1.2,6.05,NA,Large city,"Examples of events include 1) No-fry Friday 2) \I Commit\"" (a program held in April to show commitment to and provide awareness of Sodexo's sustainability efforts).""",Yes,NA
Dakota Wesleyan University,1.08E+09,315,5,3855,5.02,NA,14277.99,0.33,65.4,9.26,25,NA,NA,Large town,,NA,NA
Denison University,7.92E+08,850,5,2753.75,15.54,5.15,14460.87,0.37,33.82,14.78,31.4,5.77,NA,Small town,We host several low impact dining events including menu items that are Low Carbon Earth Week and an Annual Farmworker Awareness Week. We also host vegetarian and vegan cooking classes and dishes that are made with all local ingredients as well as a section in our catering menu that is prepared using only local foods called Locavore.,Yes,NA
DePauw University,6.69E+08,50,4,2444.25,7.32,0,19921.58,,NA,13.54,0,5.29,41,Small town,Yes we host a number of low impact dining events including an annual Eat Local Challenge a Low Carbon Meal during Earth Week and an annual National Farmworker Awareness Week. Through educational materials on each table and in signage throughout the café we share information about the benefits of prioritizing plant-based proteins for one’s health and the environment and offer plant-forward meals multiple times per week in each café.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Dickinson College,486200000,301,5,2700.5,13.66,44.13,15044.11,0.27,50.95,23.11,4.81,0,34.04,Small town,Dickinson Dining has restructured menu and line organization to put plant-forward choices first. The vegan and plant-based options are listed first on the menu serving line signage and are physically placed as the first option that people see when moving through the line. We have vegan options at every meal. In 2019 Dickinson sponsored a behavior-centered design challenge where student teams worked to identify simple psychological barriers and solutions to eating more plant-based foods. The serving and signage placement was an easy and simple solution that has worked for us and is still in practice.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Drake University,210592820,144,5,4269.25,12.69,NA,10927.86,0.19,36.04,14.87,NA,3.95,NA,Mid-size city,,NA,NA
Drexel University,749093128,74,4,16049.75,3.48,0.03,26.696,0.203,29.13,10.28,5,2.04,NA,Large city,,No,NA
Duquesne University,366728,48,5,7608,11.84,10.71,8010.58,0.12,36.48,48.41,1.8,3.43,26.2,Mid-size city,"Duquesne University's Main Dining hall hosts \weigh the waste\"" days every month to track food waste as well as offering primarily local and fair trade dining options during Founders week.""",NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Earlham College,3.95E+08,179,5,1304.25,7.82,NA,18131.96,0.26,6.12,9.38,NA,12.15,NA,Large town,Metz in partnership with the veggie club on-campus host Meatless Mondays. ,Yes,NA
East Carolina University,166731928.7,1580,3,21787.5,9.6,NA,10445.21,0.16,30.79,4.14,NA,3.81,NA,Mid-size city,Aramark has been hosting Meatless Mondays in the two Dining Halls on campus for the past several years.  They also host cooking demonstrations and have several promotional efforts to encourage students to eat plant-forward options.,NA,NA
Eastern Connecticut State University,1.30E+07,185.01,5,4565,5.63,0.92,6516.47,0.2,17.23,19.81,18.27,2.63,NA,Mid-size city,The dining hall features Meatless Monday's throughout the semester which are promoted through Facebook and in dining hall signage.In addition Chartwells has institute zero waste events for regular annual campus functions (e.g. President's picnic campus holiday party alumni/reunion).,Yes,NA
Eastern Kentucky University,60725600,983,4,12059,1.11,0.82,11008.55,0.11,27.55,NA,NA,5.66,NA,Urban fringe of mid-size city,Meals highlighting vegetarian and Vegan options are done 2 to 3 times a semester.,Yes,NA
Elon University,269948667,623.51,4,7257.5,7.69,0.01,7643.17,0.31,29.65,11.68,15.3,2.39,12,Small town,Elon Dining Services hosts multiple farm to table meals throughout the year serving only seasonal ingredients sourced from within a 150 mile radius. Elon Dining Services holds regular outreach events to educate the university community on environmental benefits of local plant forward dining as well as how to create nutritious plant forward meals.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Emerson College,168900000,16,5,3910.25,5.86,61.34,946.6,0.21,30.61,14.92,0,1.42,NA,Large city,Sodexo hosts a Meatless Monday each semester and meatless meals on Earth Day. Sodexo sponsors environmentally-themed events such as the Vegan Food Fest and Green Gala with free vegan food. ,Yes,NA
Emory University,8626248037,736.4,3,25680.5,11.82,0,10708.07,0.34,59.9,7.54,28.68,7.47,51.41,Large city,Through signage online daily menus and menu emails and interactive information tables guests learn how to make low-carbon diet choices reduce waste and the importance of eating local. The online daily menus allow diners to view vegan vegetarian and local menu items available at each dining location. The residential dining hall has a 100% vegan station. Cox retail food market promotes Meatless Mondays each week. Every April Emory Dining hosts Earth Day celebrations in these two locations to raise awareness about the impacts of our diets on the planet.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
